state,state_short,state_capital,region,mhp,mzh,mhi,swp,smc,aht,act,ayp,csr,mhl,aqi,ads,qds,lbf,unr,pop,dty
Alabama,AL,Montgomery,South,142700,194695,50536,"0,6707","0,3552","25,9","8,1","1422,4","33,15",152,"46,6",73671,390,2291962,"2,6",5073187,100
Alaska,AK,Juneau,West,270400,312988,77640,"0,7189","0,4557","11,3","-16,3","737,362","161,5",579,"29,1",90445,148,361997,"4,5",738023,1
Arizona,AZ,Phoenix,West,225500,416433,58945,"0,7765","0,3919","25,6","6,4","299,72",0,1250,"45,4",89489,831,3584973,"3,3",7303398,64
Arkansas,AR,Little Rock,South,127800,169867,47597,"0,7835","0,346",26,"5,3","1262,888",0,198,"43,1",78131,266,1355903,"3,3",3030646,58
California,CA,Sacramento,West,505000,760800,75235,"0,6263","0,3854",23,"7,9","583,438","68,5",884,46,120196,3874,19326842,"3,9",39995077,257
Colorado,CO,Denver,West,343300,559838,72331,"0,8267","0,4178","18,4","-3,4","431,292",0,2070,"47,1",80168,877,3250525,"3,3",5922618,57
Connecticut,CT,Hartford,Northeast,275400,343687,78444,"0,7781","0,3882","20,7","-1,9","1271,778","340,5",152,45,89010,678,1899204,"3,7",3612314,746
Delaware,DE,Dover,Northeast,251100,337543,68287,"0,6748","0,4082","23,4","2,3","1163,828","434,5",18,"46,4",92901,241,500476,"4,4",1008350,517
Florida,FL,Tallahassee,South,215300,358018,55660,"0,733","0,3752","27,2","15,2","1390,142",395,30,"38,9",75549,1801,10657626,"2,7",22085563,412
Georgia,GA,Atlanta,South,176000,295159,58700,"0,5785","0,3738","25,9","8,8","1275,588","109,45",183,"48,2",78393,1275,5285565,"2,8",10916760,190
Hawaii,HI,Honolulu,West,615300,848926,81275,"0,4145","0,4341","22,3","19,7","1278,382",435,920,"21,2",66573,160,677026,"4,1",1474265,230
Idaho,ID,Boise,West,212300,466435,55785,"0,93","0,4161","17,6","-3,7","429,514",0,1520,"44,3",89669,249,9525,"2,6",1893410,23
Illinois,IL,Springfield,Midwest,194500,253433,65886,"0,7354","0,398",23,"-2,1","978,408","2,85",183,"43,6",82774,2023,6459809,"4,4",12808884,231
Indiana,IN,Indianapolis,Midwest,141700,210166,56303,"0,8339","0,4014","22,4","-1,4","1063,244","3,25",213,"47,5",76528,712,3393868,"2,6",6845874,191
Iowa,IA,Des Moines,Midwest,147800,183418,60523,"0,906","0,4093",22,"-5,7","876,3",0,335,"37,6",75776,427,1710552,"2,5",3219171,58
Kansas,KS,Topeka,Midwest,151900,198199,59597,"0,8625","0,403","24,7","-0,1","823,722",0,610,"42,8",74872,388,1505485,"2,4",2954832,36
Kentucky,KY,Frankfort,South,141000,188439,50589,"0,8728","0,3665","23,6","2,2","1175,258",0,229,"46,1",75741,396,2063503,"3,7",4539130,115
Louisiana,LA,Baton Rouge,South,163100,205972,49469,"0,6355","0,3337","27,3","10,5","1502,41",410,30,"40,4",76434,315,2104418,"3,6",4682633,108
Maine,ME,Augusta,Northeast,190400,344592,57918,"0,944","0,3763","17,6","-8,4","1155,446",277,183,"36,5",83805,196,678439,"2,8",1369159,44
Maryland,MD,Annapolis,Northeast,314800,390608,84805,"0,561","0,4072","22,9","1,5","1084,58","7,2",107,47,87406,1516,3212780,"3,9",6257958,645
Massachusetts,MA,Boston,Northeast,381600,559312,81215,"0,7779","0,3763",20,"-2,6","1229,868",428,152,"41,4",94091,1684,3765572,"3,5",7126375,914
Michigan,MI,Lansing,Midwest,154900,225324,57144,"0,7984","0,3887",19,"-5,7","832,866",90,274,"42,5",81586,872,4859217,"4,2",10116069,179
Minnesota,MN,"St, Paul",Midwest,223900,323515,71306,"0,8224","0,431","19,3","-10,9","726,694","5,5",366,"38,3",82819,947,3088162,"1,8",5787008,73
Mississippi,MS,Jackson,South,119000,157828,45081,"0,601","0,3166","26,4","8,2","1434,592","21,9",91,"43,7",73859,160,1268216,"3,6",2960075,63
Missouri,MO,Jefferson City,Midwest,157200,218208,55461,"0,8345","0,3803","24,1","0,2","1080,008",0,244,44,78098,868,3056259,"2,5",6188111,90
Montana,MT,Helena,West,230600,428202,54970,"0,889","0,3754","17,9",-6,"378,968",0,1040,"39,6",80145,197,566008,"2,7",1103187,8
Nebraska,NE,Lincoln,Midwest,155800,230672,61439,"0,881","0,417","22,1","-3,5","677,164",0,792,37,74466,284,1063273,2,1988536,26
Nevada,NV,Carson City,West,267900,434832,60365,"0,6496","0,3968","20,6","0,1","240,284",0,1680,"42,1",96695,278,1521381,"4,4",3185426,29
New Hampshire,NH,Concord,Northeast,261700,411945,76768,"0,931","0,441","18,6","-6,1","1138,936","40,65",305,"38,9",87302,292,766658,2,1389741,155
New Jersey,NJ,Trenton,Northeast,335600,441762,82545,"0,6615","0,3873","22,3","0,6","1219,708","40,05",76,"44,1",90358,1845,4666889,"3,7",9388414,1277
New Mexico,NM,Santa Fe,West,171400,277617,49754,"0,7619","0,3488","21,9","2,3","361,696",0,1740,"42,1",80314,311,949565,"4,5",2129190,18
New York,NY,Albany,Northeast,313700,382663,68486,"0,635","0,3719","19,2","-4,8","1088,898",131,305,"40,4",98821,2735,9515001,"4,4",20365879,432
North Carolina,NC,Raleigh,South,172500,296021,54602,"0,6854","0,3712","24,3","5,6","1191,768",180,213,"46,5",81851,1788,5114988,"3,4",10620168,218
North Dakota,ND,Bismarck,Midwest,193900,266763,64894,"0,8417","0,4005","19,2",-11,"472,186",0,579,37,77667,155,409778,"2,3",800394,12
Ohio,OH,Columbus,Midwest,145700,199959,56602,"0,8252","0,3876","21,6","-1,4","996,696",0,259,"48,2",82610,1164,5794891,"3,9",11852036,290
Oklahoma,OK,Oklahoma City,South,136800,171057,52919,"0,7803","0,3638","26,4","3,9","955,548","18,5",396,"43,5",73188,236,1880438,3,4000953,58
Oregon,OR,Salem,West,312200,502215,62818,"0,849","0,4022","17,6","1,1","1107,948",46,1010,"36,1",88457,596,2205412,"3,5",4318492,45
Pennsylvania,PA,Harrisburg,Northeast,180200,254597,61744,"0,8097","0,3892","20,3",-2,"1086,358",8,335,"45,6",85459,1804,6445701,"4,3",13062764,292
Rhode Island,RI,Providence,Northeast,261900,412897,67167,"0,7933","0,4235","20,4","-0,3","1268,984","70,65",61,"43,7",88388,180,573222,"2,7",1106341,107
South Carolina,SC,Columbia,South,162300,269186,53199,"0,6656","0,3653","25,8","7,8","1250,696","250,5",107,"44,8",76879,423,2399637,"3,2",5217037,174
South Dakota,SD,Pierre,Midwest,167100,277809,58275,"0,8379","0,4069","21,1","-6,9","559,308",0,671,"39,6",80898,184,478149,"2,3",901165,12
Tennessee,TN,Nashville,South,167200,276963,53320,"0,7602","0,3692","24,2","3,9","1316,99",0,274,"47,5",80287,551,3409628,"3,3",7023788,170
Texas,TX,Austin,South,172500,289896,61874,"0,7199","0,3844","27,3","8,8",889,"36,6",518,41,84311,2563,14583163,4,29945493,115
Utah,UT,Salt Lake City,West,279100,544868,71621,"0,906","0,4662","20,9","-2,1","401,066",0,1860,"51,2",86604,510,1732572,2,3373162,41
Vermont,VT,Montpelier,Northeast,227700,336310,61973,"0,942","0,4203","18,4",-7,"1081,532",0,305,"38,5",85676,123,335585,"2,1",646545,70
Virginia,VA,Richmond,South,273100,358447,74222,"0,6844","0,39","22,9","2,7","1086,104",212,290,45,85719,1789,4354174,"2,7",8757467,222
Washington,WA,Olympia,West,339000,595732,73775,"0,7551","0,4091","17,7","0,6","982,218",116,518,"33,5",111669,1222,4030754,"3,7",7901429,119
West Virginia,WV,Charleston,South,119600,129103,46711,"0,935","0,3398","21,2","0,4","1126,744",0,457,"47,6",86375,176,79739,"3,7",1781860,74
Wisconsin,WI,Madison,Midwest,180600,251655,61747,"0,8548","0,4206","19,3","-8,2","840,994",33,320,"39,5",80315,679,3135416,3,5935064,110
Wyoming,WY,Cheyenne,West,220500,308862,64049,"0,925","0,4181","17,5",-6,"336,042",0,2040,45,76099,92,1188074,"5,9",579495,6