"Fact","Fact Note","Mississippi","Value Note for Mississippi","Minnesota","Value Note for Minnesota","Michigan","Value Note for Michigan","Massachusetts","Value Note for Massachusetts","Maryland","Value Note for Maryland","Maine","Value Note for Maine"
"Population Estimates, July 1, 2022, (V2022)","","2,940,057","","5,717,184","","10,034,113","","6,981,974","","6,164,660","","1,385,340",""
"Population Estimates, July 1, 2021, (V2021)","","2,949,586","","5,711,471","","10,037,504","","6,989,690","","6,174,610","","1,377,238",""
"Population estimates base, April 1, 2020, (V2022)","","2,961,288","","5,706,504","","10,077,325","","7,029,949","","6,177,213","","1,362,341",""
"Population estimates base, April 1, 2020, (V2021)","","2,961,288","","5,706,504","","10,077,325","","7,029,949","","6,177,213","","1,362,341",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-0.7%","","0.2%","","-0.4%","","-0.7%","","-0.2%","","1.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","-0.4%","","0.1%","","-0.4%","","-0.6%","","0.0%","","1.1%",""
"Population, Census, April 1, 2020","","2,961,279","","5,706,494","","10,077,331","","7,029,917","","6,177,224","","1,362,359",""
"Population, Census, April 1, 2010","","2,967,297","","5,303,925","","9,883,640","","6,547,629","","5,773,552","","1,328,361",""
"Persons under 5 years, percent","","6.0%","","5.9%","","5.5%","","5.0%","","5.8%","","4.5%",""
"Persons under 18 years, percent","","23.5%","","23.1%","","21.4%","","19.5%","","22.1%","","18.4%",""
"Persons 65 years and over, percent","","16.8%","","16.7%","","18.1%","","17.4%","","16.3%","","21.7%",""
"Female persons, percent","","51.3%","","49.9%","","50.4%","","51.1%","","51.3%","","50.7%",""
"White alone, percent","","58.8%","","83.0%","","79.0%","","79.8%","","57.8%","","94.2%",""
"Black or African American alone, percent","(a)","38.0%","","7.4%","","14.1%","","9.3%","","31.4%","","1.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.6%","","1.4%","","0.7%","","0.5%","","0.7%","","0.7%",""
"Asian alone, percent","(a)","1.1%","","5.4%","","3.4%","","7.5%","","6.9%","","1.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.1%","","Z","","0.1%","","0.1%","","Z",""
"Two or More Races, percent","","1.4%","","2.8%","","2.7%","","2.7%","","3.1%","","1.9%",""
"Hispanic or Latino, percent","(b)","3.5%","","5.8%","","5.6%","","12.8%","","11.1%","","2.0%",""
"White alone, not Hispanic or Latino, percent","","56.0%","","78.1%","","74.2%","","70.1%","","49.0%","","92.5%",""
"Veterans, 2017-2021","","159,142","","282,627","","516,924","","277,442","","352,738","","101,024",""
"Foreign born persons, percent, 2017-2021","","2.3%","","8.5%","","6.9%","","17.3%","","15.4%","","3.6%",""
"Housing units, July 1, 2021, (V2021)","","1,332,050","","2,517,248","","4,590,528","","3,017,901","","2,546,344","","745,334",""
"Owner-occupied housing unit rate, 2017-2021","","68.9%","","72.3%","","72.2%","","62.4%","","67.3%","","73.4%",""
"Median value of owner-occupied housing units, 2017-2021","","$133,000","","$250,200","","$172,100","","$424,700","","$338,500","","$212,100",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,218","","$1,682","","$1,374","","$2,365","","$2,111","","$1,471",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$371","","$581","","$520","","$875","","$658","","$530",""
"Median gross rent, 2017-2021","","$830","","$1,081","","$946","","$1,429","","$1,485","","$927",""
"Building permits, 2021","","7,988","","33,652","","21,732","1","19,853","","18,496","","6,530","1"
"Households, 2017-2021","","1,108,670","","2,229,100","","3,976,729","","2,714,448","","2,294,270","","571,064",""
"Persons per household, 2017-2021","","2.60","","2.49","","2.48","","2.48","","2.62","","2.31",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","87.9%","","86.7%","","87.3%","","87.5%","","87.2%","","87.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","3.9%","","12.0%","","9.9%","","24.4%","","19.5%","","5.9%",""
"Households with a computer, percent, 2017-2021","","88.4%","","93.8%","","92.4%","","93.5%","","94.6%","","92.1%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","78.0%","","88.6%","","86.4%","","89.6%","","89.7%","","86.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","85.6%","","93.6%","","91.6%","","91.2%","","90.8%","","93.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","23.2%","","37.6%","","30.6%","","45.2%","","41.6%","","33.6%",""
"With a disability, under age 65 years, percent, 2017-2021","","12.3%","","7.6%","","10.1%","","7.9%","","7.7%","","11.6%",""
"Persons  without health insurance, under age 65 years, percent","","14.2%","","5.3%","","6.0%","","2.9%","","7.1%","","7.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","56.8%","","69.1%","","61.5%","","67.1%","","66.8%","","62.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","53.9%","","65.6%","","57.4%","","63.5%","","63.2%","","59.5%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","8,181,285","","14,234,262","","23,056,352","","22,892,801","","16,930,706","","4,017,655",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","18,752,296","","50,491,047","","74,194,505","","74,023,959","","48,675,732","","11,777,286",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","5,564,028","","18,342,371","","25,019,797","","13,596,083","","11,314,342","","1,846,035",""
"Total retail sales, 2017 ($1,000)","(c)","36,920,630","","91,993,636","","143,437,054","","110,194,522","","84,966,185","","23,878,653",""
"Total retail sales per capita, 2017","(c)","$12,345","","$16,518","","$14,377","","$16,055","","$14,095","","$17,877",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","25.4","","23.5","","24.5","","29.6","","32.5","","24.3",""
"Median household income (in 2021 dollars), 2017-2021","","$49,111","","$77,706","","$63,202","","$89,026","","$91,431","","$63,182",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$26,807","","$41,204","","$34,768","","$48,617","","$45,915","","$36,171",""
"Persons in poverty, percent","","19.4%","","9.3%","","13.1%","","10.4%","","10.3%","","11.5%",""
"Total employer establishments, 2021","","59,805","","152,836","","224,676","","180,088","","141,217","","42,519",""
"Total employment, 2021","","930,852","","2,627,416","","3,768,321","","3,175,568","","2,283,019","","504,710",""
"Total annual payroll, 2021 ($1,000)","","40,696,729","","166,709,629","","216,772,518","","263,746,117","","149,507,952","","26,856,426",""
"Total employment, percent change, 2020-2021","","-2.0%","","-4.0%","","-5.8%","","-6.3%","","-5.1%","","-3.1%",""
"Total nonemployer establishments, 2019","","228,123","","418,080","","741,509","","576,528","","527,410","","117,912",""
"All employer firms, Reference year 2017","","41,265","","115,144","","165,460","","138,829","","104,529","","32,955",""
"Men-owned employer firms, Reference year 2017","","25,349","","67,398","","106,137","","89,993","","65,046","","18,962",""
"Women-owned employer firms, Reference year 2017","","6,653","","20,352","","29,706","","23,778","","21,325","","6,119",""
"Minority-owned employer firms, Reference year 2017","","4,503","","6,619","","13,091","","15,015","","23,789","","867",""
"Nonminority-owned employer firms, Reference year 2017","","32,683","","98,830","","141,153","","111,958","","72,623","","29,157",""
"Veteran-owned employer firms, Reference year 2017","","2,914","","7,356","","8,714","","8,299","","7,365","","2,386",""
"Nonveteran-owned employer firms, Reference year 2017","","33,214","","95,851","","142,782","","117,263","","87,818","","26,947",""
"Population per square mile, 2020","","63.1","","71.7","","178.0","","901.2","","636.1","","44.2",""
"Population per square mile, 2010","","63.2","","66.6","","174.8","","839.4","","594.8","","43.1",""
"Land area in square miles, 2020","","46,923.96","","79,626.68","","56,608.22","","7,800.96","","9,711.20","","30,845.10",""
"Land area in square miles, 2010","","46,923.27","","79,626.74","","56,538.90","","7,800.06","","9,707.24","","30,842.92",""
"FIPS Code","","""28""","","""27""","","""26""","","""25""","","""24""","","""23""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Includes data not distributed by county.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
